steal_prob,trial,delivered,hop_count
0.0,0,True,3
0.0,1,True,3
0.0,2,True,3
0.0,3,True,3
0.0,4,True,3
0.0,5,True,3
0.0,6,True,3
0.0,7,True,3
0.0,8,True,3
0.0,9,True,3
0.0,10,True,3
0.0,11,True,3
0.0,12,True,3
0.0,13,True,3
0.0,14,True,3
0.0,15,True,3
0.0,16,True,3
0.0,17,True,3
0.0,18,True,3
0.0,19,True,3
0.0,20,True,3
0.0,21,True,3
0.0,22,True,3
0.0,23,True,3
0.0,24,True,3
0.0,25,True,3
0.0,26,True,3
0.0,27,True,3
0.0,28,True,3
0.0,29,True,3
0.0,30,True,3
0.0,31,True,3
0.0,32,True,3
0.0,33,True,3
0.0,34,True,3
0.0,35,True,3
0.0,36,True,3
0.0,37,True,3
0.0,38,True,3
0.0,39,True,3
0.0,40,True,3
0.0,41,True,3
0.0,42,True,3
0.0,43,True,3
0.0,44,True,3
0.0,45,True,3
0.0,46,True,3
0.0,47,True,3
0.0,48,True,3
0.0,49,True,3
0.0,50,True,3
0.0,51,True,3
0.0,52,True,3
0.0,53,True,3
0.0,54,True,3
0.0,55,True,3
0.0,56,True,3
0.0,57,True,3
0.0,58,True,3
0.0,59,True,3
0.0,60,True,3
0.0,61,True,3
0.0,62,True,3
0.0,63,True,3
0.0,64,True,3
0.0,65,True,3
0.0,66,True,3
0.0,67,True,3
0.0,68,True,3
0.0,69,True,3
0.0,70,True,3
0.0,71,True,3
0.0,72,True,3
0.0,73,True,3
0.0,74,True,3
0.0,75,True,3
0.0,76,True,3
0.0,77,True,3
0.0,78,True,3
0.0,79,True,3
0.0,80,True,3
0.0,81,True,3
0.0,82,True,3
0.0,83,True,3
0.0,84,True,3
0.0,85,True,3
0.0,86,True,3
0.0,87,True,3
0.0,88,True,3
0.0,89,True,3
0.0,90,True,3
0.0,91,True,3
0.0,92,True,3
0.0,93,True,3
0.0,94,True,3
0.0,95,True,3
0.0,96,True,3
0.0,97,True,3
0.0,98,True,3
0.0,99,True,3
0.1,0,True,3
0.1,1,True,3
0.1,2,True,3
0.1,3,True,3
0.1,4,True,3
0.1,5,True,3
0.1,6,True,3
0.1,7,True,3
0.1,8,True,3
0.1,9,True,3
0.1,10,True,3
0.1,11,True,3
0.1,12,True,3
0.1,13,True,3
0.1,14,True,3
0.1,15,True,3
0.1,16,True,3
0.1,17,True,3
0.1,18,True,3
0.1,19,True,3
0.1,20,True,3
0.1,21,True,3
0.1,22,True,3
0.1,23,True,3
0.1,24,True,3
0.1,25,True,3
0.1,26,True,3
0.1,27,True,3
0.1,28,True,3
0.1,29,True,3
0.1,30,True,3
0.1,31,True,3
0.1,32,True,3
0.1,33,True,3
0.1,34,True,3
0.1,35,True,3
0.1,36,True,3
0.1,37,True,3
0.1,38,True,3
0.1,39,True,3
0.1,40,True,3
0.1,41,True,3
0.1,42,True,3
0.1,43,True,3
0.1,44,True,3
0.1,45,True,3
0.1,46,True,3
0.1,47,True,3
0.1,48,True,3
0.1,49,True,3
0.1,50,True,3
0.1,51,True,3
0.1,52,True,3
0.1,53,True,3
0.1,54,True,3
0.1,55,True,3
0.1,56,True,3
0.1,57,True,3
0.1,58,True,3
0.1,59,True,3
0.1,60,True,3
0.1,61,True,3
0.1,62,True,3
0.1,63,True,3
0.1,64,True,3
0.1,65,True,3
0.1,66,True,3
0.1,67,True,3
0.1,68,True,3
0.1,69,True,3
0.1,70,True,3
0.1,71,True,3
0.1,72,True,3
0.1,73,True,3
0.1,74,True,3
0.1,75,True,3
0.1,76,True,3
0.1,77,True,3
0.1,78,True,3
0.1,79,True,3
0.1,80,True,3
0.1,81,True,3
0.1,82,True,3
0.1,83,True,3
0.1,84,True,3
0.1,85,True,3
0.1,86,True,3
0.1,87,True,3
0.1,88,True,3
0.1,89,True,3
0.1,90,True,3
0.1,91,True,3
0.1,92,True,3
0.1,93,True,3
0.1,94,True,3
0.1,95,True,3
0.1,96,True,3
0.1,97,True,3
0.1,98,True,3
0.1,99,True,3
0.2,0,True,3
0.2,1,True,3
0.2,2,True,3
0.2,3,True,3
0.2,4,True,3
0.2,5,True,3
0.2,6,True,3
0.2,7,True,3
0.2,8,True,3
0.2,9,True,3
0.2,10,True,3
0.2,11,True,3
0.2,12,True,3
0.2,13,True,3
0.2,14,True,3
0.2,15,True,3
0.2,16,True,3
0.2,17,True,3
0.2,18,True,3
0.2,19,True,3
0.2,20,True,3
0.2,21,True,3
0.2,22,True,3
0.2,23,True,3
0.2,24,True,3
0.2,25,True,3
0.2,26,True,3
0.2,27,True,3
0.2,28,True,3
0.2,29,True,3
0.2,30,True,3
0.2,31,True,3
0.2,32,True,3
0.2,33,True,3
0.2,34,True,3
0.2,35,True,3
0.2,36,True,3
0.2,37,True,3
0.2,38,True,3
0.2,39,True,3
0.2,40,True,3
0.2,41,True,3
0.2,42,True,3
0.2,43,True,3
0.2,44,True,3
0.2,45,True,3
0.2,46,True,3
0.2,47,True,3
0.2,48,True,3
0.2,49,True,3
0.2,50,True,3
0.2,51,True,3
0.2,52,True,3
0.2,53,True,3
0.2,54,True,3
0.2,55,True,3
0.2,56,True,3
0.2,57,True,3
0.2,58,True,3
0.2,59,True,3
0.2,60,True,3
0.2,61,True,3
0.2,62,True,3
0.2,63,True,3
0.2,64,True,3
0.2,65,True,3
0.2,66,True,3
0.2,67,True,3
0.2,68,True,3
0.2,69,True,3
0.2,70,True,3
0.2,71,True,3
0.2,72,True,3
0.2,73,True,3
0.2,74,True,3
0.2,75,True,3
0.2,76,True,3
0.2,77,True,3
0.2,78,True,3
0.2,79,True,3
0.2,80,True,3
0.2,81,True,3
0.2,82,True,3
0.2,83,True,3
0.2,84,True,3
0.2,85,True,3
0.2,86,True,3
0.2,87,True,3
0.2,88,True,3
0.2,89,True,3
0.2,90,True,3
0.2,91,True,3
0.2,92,True,3
0.2,93,True,3
0.2,94,True,3
0.2,95,True,3
0.2,96,True,3
0.2,97,True,3
0.2,98,True,3
0.2,99,True,3
0.30000000000000004,0,True,3
0.30000000000000004,1,True,3
0.30000000000000004,2,True,3
0.30000000000000004,3,True,3
0.30000000000000004,4,True,3
0.30000000000000004,5,True,3
0.30000000000000004,6,True,3
0.30000000000000004,7,True,3
0.30000000000000004,8,True,3
0.30000000000000004,9,True,3
0.30000000000000004,10,True,3
0.30000000000000004,11,True,3
0.30000000000000004,12,True,3
0.30000000000000004,13,True,3
0.30000000000000004,14,True,3
0.30000000000000004,15,True,3
0.30000000000000004,16,True,3
0.30000000000000004,17,True,3
0.30000000000000004,18,True,3
0.30000000000000004,19,True,3
0.30000000000000004,20,True,3
0.30000000000000004,21,True,3
